"ID","9","18"
"STRINGS.#0.TEXT_COMMAND_RA_SOVIET_BUILD_UNIT_MIG","Soviet Vehicle - Mig","Soviet Vehicle - Mig"
"STRINGS.#0.TEXT_GEOMETRY_DETAIL","Geometry Detail","지오메트리 디테일(Geometry Detail)"
"STRINGS.#0.TEXT_MATCH_ID","ID","ID"
"STRINGS.#0.TEXT_PLAYERFORCES","ALLY FORCES:","동맹 병력:"
"STRINGS.#0.TEXT_DIFFICTULTY_TRACKING_BONUS_COMPLETED","BONUS OBJECTIVES:","보너스 목표:"
"STRINGS.#0.TEXT_COVERT_NOD_CAMPAIGN_2_DESC","GDI has attacked and cut off one of our bases. Find a way into the base. One of our agents will assist you by placing a landing flare at the right time. Once you&apos;re in, rebuild the base and destroy the GDI forces in the area.","GDI has attacked and cut off one of our bases. Find a way into the base. One of our agents will assist you by placing a landing flare at the right time. Once you&apos;re in, rebuild the base and destroy the GDI forces in the area."
"STRINGS.#0.TEXT_STRUCTURE_RA_PBOX","Pillbox","Pillbox"
"STRINGS.#0.TEXT_IDLE_FACTORIES","ALWAYS SHOW IDLE FACTORIES","항상 유휴상태 팩토리 표시"
"STRINGS.#0.TEXT_YES","Yes","예"
"STRINGS.#0.TEXT_BONUS_CONTENT_CNC_TD_ENTRY_16_TITLE","THE WRONG TIME TO TAKE A VACATION","THE WRONG TIME TO TAKE A VACATION"
"STRINGS.#0.TEXT_LOAD_REPLAY","LOAD REPLAY","리플레이 로드"
"STRINGS.#0.TEXT_UI_META_NEW_UNIT_TEXT","New Unit","신규 유닛"
"STRINGS.#0.TEXT_CINE_RETALIATION_ANTS_LINE14","[SLAM]","[SLAM]"
"STRINGS.#0.TEXT_BONUS_CONTENT_CNC_TD_ENTRY_39_LOCK","COMPLETE Extract the Detonator","COMPLETE Extract the Detonator"
"STRINGS.#0.TEXT_BONUS_CONTENT_CNC_TD_ENTRY_1002_TITLE","C&amp;&amp;C CREDITS OUTTAKES THEME","C&amp;&amp;C CREDITS OUTTAKES THEME"
"STRINGS.#0.TEXT_LEADERBOARD_SEASON_S18","Season 18","Season 18"
"STRINGS.#0.TEXT_COMMAND_SET_CAMERA_LOCATION_1","Set Camera Location 1","카메라 위치 1 설정"
"STRINGS.#0.TEXT_VOLUME_MASTER","Master Volume","마스터 볼륨"
"STRINGS.#0.TEXT_STRUCTURE_RA_HPAD","Helipad","Helipad"
"STRINGS.#0.TEXT_NEED_PLACEMENT_MATCHES","##0 placement matches are required to begin leaderboard tracking.","순위표 추적을 시작하려면 ##0 배치 매치가 필요합니다."
"STRINGS.#0.TEXT_RA_TUTORIAL_MESSAGE_119","Locate &amp;&amp; free the hostages.","Locate &amp;&amp; free the hostages."
"STRINGS.#0.TEXT_CURRENT_PAGE","PAGE ##0","페이지 ##0"
