ID,9,18
STRINGS.#0.TEXT_COMMAND_RA_SOVIET_BUILD_UNIT_MIG,Soviet Vehicle - Mig,소련 차량-미그
STRINGS.#0.TEXT_GEOMETRY_DETAIL,Geometry Detail,기하학 세부 사항
STRINGS.#0.TEXT_MATCH_ID,ID,신분증
STRINGS.#0.TEXT_PLAYERFORCES,ALLY FORCES:,동맹군 :
STRINGS.#0.TEXT_DIFFICTULTY_TRACKING_BONUS_COMPLETED,BONUS OBJECTIVES:,보너스 목표 :
STRINGS.#0.TEXT_COVERT_NOD_CAMPAIGN_2_DESC,"GDI has attacked and cut off one of our bases. Find a way into the base. One of our agents will assist you by placing a landing flare at the right time. Once you&apos;re in, rebuild the base and destroy the GDI forces in the area.",GDI가 우리 기지 중 하나를 공격하고 차단했습니다. 기지로가는 길을 찾으세요. 우리 요원 중 한 명이 적시에 착륙 플레어를 배치하여 도움을 드릴 것입니다. 일단 들어가면 기지를 재건하고 해당 지역의 GDI 군대를 파괴하십시오.
STRINGS.#0.TEXT_STRUCTURE_RA_PBOX,Pillbox,필 박스
STRINGS.#0.TEXT_IDLE_FACTORIES,ALWAYS SHOW IDLE FACTORIES,항상 유휴 공장 표시
STRINGS.#0.TEXT_YES,Yes,예
STRINGS.#0.TEXT_BONUS_CONTENT_CNC_TD_ENTRY_16_TITLE,THE WRONG TIME TO TAKE A VACATION,휴가를 보내기에 잘못된 시간
STRINGS.#0.TEXT_LOAD_REPLAY,LOAD REPLAY,로드 리플레이
STRINGS.#0.TEXT_UI_META_NEW_UNIT_TEXT,New Unit,새 단위
STRINGS.#0.TEXT_CINE_RETALIATION_ANTS_LINE14,[SLAM],[쾅]
STRINGS.#0.TEXT_BONUS_CONTENT_CNC_TD_ENTRY_39_LOCK,COMPLETE Extract the Detonator,기폭 장치 추출 완료
STRINGS.#0.TEXT_BONUS_CONTENT_CNC_TD_ENTRY_1002_TITLE,C&amp;&amp;C CREDITS OUTTAKES THEME,C &amp; &amp; C 크레딧이 테마를 능가합니다.
STRINGS.#0.TEXT_LEADERBOARD_SEASON_S18,Season 18,시즌 18
STRINGS.#0.TEXT_COMMAND_SET_CAMERA_LOCATION_1,Set Camera Location 1,카메라 위치 설정 1
STRINGS.#0.TEXT_VOLUME_MASTER,Master Volume,마스터 볼륨
STRINGS.#0.TEXT_STRUCTURE_RA_HPAD,Helipad,헬기 착륙장
STRINGS.#0.TEXT_NEED_PLACEMENT_MATCHES,##0 placement matches are required to begin leaderboard tracking.,리더 보드 추적을 시작하려면 ## 0 게재 위치 일치가 필요합니다.
STRINGS.#0.TEXT_RA_TUTORIAL_MESSAGE_119,Locate &amp;&amp; free the hostages.,&amp; &amp; 인질을 풀어주세요.
STRINGS.#0.TEXT_CURRENT_PAGE,PAGE ##0,페이지 ## 0
STRINGS.#0.TEXT_STARTMARKER,*CLICK A CIRCLE TO SELECT A START POSITION.,* 시작 위치를 선택하려면 원을 클릭하십시오.
STRINGS.#0.TEXT_CONTINUE,Continue,계속하다
STRINGS.#0.TEXT_CANCEL,Cancel,취소
STRINGS.#0.TEXT_MULTIPLAYER_CAPS,SKIRMISH &amp;&amp; ONLINE,SKIRMISH &amp; &amp; 온라인
STRINGS.#0.TEXT_FACTION_NAME_FACTION_4,Greece,그리스
STRINGS.#0.TEXT_ACHIEVEMENT_LIFE_FINDS_A_WAY,Life... Finds a Way,인생 ... 방법을 찾습니다
STRINGS.#0.TEXT_STRUCTURE_RA_SBAG,Sandbags,샌드백
STRINGS.#0.TEXT_UI_META_WEAPON_SOCKET_TYPE,Weapon,무기
STRINGS.#0.TEXT_NAME_MP_G3_SHADES,Shades,음영
STRINGS.#0.TEXT_TOOLTIP_PRISON,Prison,감옥
STRINGS.#0.TEXT_UNIT_TITLE_MOEBIUS,Dr. Mobius,Mobius 박사
STRINGS.#0.TEXT_STRUCTURE_TITLE_CIV32,Aksum&apos;s Hut,Aksum 's Hut
STRINGS.#0.TEXT_NAME_MP_E6_COLD_FRONT,Cold Front,한랭 전선
STRINGS.#0.TEXT_MOD_TO_FONT_B_NAME,RA_Orbitron,RA_Orbitron
STRINGS.#0.TEXT_BONUS_CONTENT_CNC_RA_ENTRY_23_TITLE,ART IMITATES LIFE: PROP GUN 4/4,ART IMITATES LIFE : PROP GUN 4/4
STRINGS.#0.TEXT_EXPLORED,EXPLORED:,탐험 :
STRINGS.#0.TEXT_MISSONSELECT,Mission Select,미션 선택
STRINGS.#0.TEXT_MUSIC_RAC_MUS_FLOATING,Floating (Classic),플로팅 (클래식)
STRINGS.#0.TEXT_KEY_NUMPAD_5,Numpad 5,숫자 키패드 5
STRINGS.#0.TEXT_TOOLTIP_TECH_UPGRADE_RESEARCH_FORMAT,Research ##0,연구 ## 0
STRINGS.#0.TEXT_LOAD_GAME_CAPS,LOAD GAME,게임 불러 오기
STRINGS.#0.TEXT_AUDIO_SETTINGS_SPEC_TITLE,SFX CHANNELS,SFX 채널
STRINGS.#0.TEXT_SFX_RAC_SFX_FLAREE1,Signal flare detected from the east.,동쪽에서 신호탄이 감지되었습니다.
STRINGS.#0.TEXT_MULTIPLAYER_DETAILS_STARTING_UNITS,Starting Units,시작 단위
STRINGS.#0.TEXT_BAN_TIME_FORMAT,"Banned for: ##3 day(s), ##2 hour(s), ##1 minute(s), ##0 second(s)","금지 : ## 3 일, ## 2 시간, ## 1 분, ## 0 초"
STRINGS.#0.TEXT_BONUS_CONTENT_CNC_RA_ENTRY_44_TITLE,WORLD DOMINATION TOUR &apos;97,세계 지배 투어 '97
STRINGS.#0.TEXT_INTERFACEHOTKEYS,INTERFACE,상호 작용
STRINGS.#0.TEXT_CINE_RETRO_LINE2,[PUNCH LANDS FOLLOWED BY A GRUNT],[GRUNT가 따르는 펀치 랜드]
STRINGS.#0.TEXT_STRUCTURE_TITLE_GDI_ADV_POWER_PLANT,Adv Power Plant,고급 발전소
STRINGS.#0.TEXT_CINE_GDI_FINA_LINE11,[THUD],[쿵]
STRINGS.#0.TEXT_OPERATION_FAILED,OPERATION FAILED!,작동 실패!
STRINGS.#0.TEXT_COMMAND_GET_CAMERA_LOCATION_HOME,Go To Camera Home Base,카메라 홈베이스로 이동
STRINGS.#0.TEXT_SFX_RAR_SFX_OBJRCH1,Objective reached.,목표에 도달했습니다.
STRINGS.#0.TEXT_NOTIFICATION_ALLY_UNDER_ATTACK,ALLY UNDER ATTACK,공격중인 동맹
STRINGS.#0.TEXT_MUSIC_JUKEBOX_NOW_PLAYING,Music Now Playing:,지금 재생중인 음악 :
STRINGS.#0.TEXT_SFX_RAC_SFX_4MINR,"Warning, 4 minutes remaining.","경고, 4 분 남았습니다."
STRINGS.#0.TEXT_MUSIC_RAR_MUS_DENSE,Dense (Remastered),밀도 (Remastered)
STRINGS.#0.TEXT_RA_TUTORIAL_MESSAGE_46,Destroy convoy truck,호송 트럭 파괴
STRINGS.#0.TEXT_NAME_ALLIED_CAMPAIGN42,ITALY: Production Disruption,이탈리아 : 생산 중단
STRINGS.#0.TEXT_COMMAND_GOTO_NOTIFICATION,Go to Event Notification,이벤트 알림으로 이동
STRINGS.#0.TEXT_ACHIEVEMENT_ANTS_DESC,Complete all the “It Came From Red Alert” missions,"모든 ""빨간 경보에서 온 것""임무 완료"
STRINGS.#0.TEXT_VIDEO_SETTINGS_AA,Adjusts smooth edges of 3D models,3D 모델의 부드러운 가장자리 조정
STRINGS.#0.TEXT_RA_TUTORIAL_MESSAGE_144,Yes. They&apos;re getting nervous about the,예. 그들은에 대해 긴장하고 있습니다.
STRINGS.#0.TEXT_SCORE_TOTAL_SCORE_HEADER,TOTAL SCORE:,총 점수:
STRINGS.#0.TEXT_UI_TACTICAL_UPGRADE_ALL,Upgrade,업그레이드
STRINGS.#0.TEXT_SFX_TDC_SFX_REPAIR1,Repairing.,수리 중.
STRINGS.#0.TEXT_CINE_NOD_FIN_LINE12,[EXPLOSION],[폭발]
STRINGS.#0.TEXT_COMMAND_RA_ALLIED_BUILD_UNIT_LIGHT_TANK,Allied Vehicle - Light Tank,연합군 차량-경전차
STRINGS.#0.TEXT_STRUCTURE_RA_SPEN,Sub Pen,서브 펜
STRINGS.#0.TEXT_CINE_NOD_END4_LINE2,[ENERGY BLAST],[에너지 폭발]
STRINGS.#0.TEXT_GDI_DESTROY_THE_SAM_SITES,Air Supremacy,에어 패권
STRINGS.#0.TEXT_CONTROLS_UNITORDERS05_KEYS,D then Left-Click Multiple Destinations,D 그런 다음 여러 대상을 왼쪽 클릭
STRINGS.#0.TEXT_NAME_AI_SKIRMISH,TEST AI SKIRMISH,AI SKIRMISH 테스트
STRINGS.#0.TEXT_TOOLTIP_AUDIO_SETTINGS,Click to adjust audio settings,클릭하여 오디오 설정 조정
STRINGS.#0.TEXT_NAME_MP_97_NORTHERN_EXPLOSION,Northern Explosion,북부 폭발
STRINGS.#0.TEXT_CINE_GDI_FINA_LINE3,[GLASS SHATTERING FOLLOWED BY EXPLOSIONS],[폭발로 인한 유리 잔해]
STRINGS.#0.TEXT_BONUS_CONTENT_CNC_TD_ENTRY_71_TITLE,NOD&apos;S CHARISMATIC LEADER,NOD의 카리스마 적 지도자
STRINGS.#0.TEXT_NAME_MP_K6_DAMNATION_ALLEY,Damnation Alley (Mega),Damnation Alley (메가)
STRINGS.#0.TEXT_UNABLE_TO_JOIN_TEAM,UNABLE TO JOIN PREMADE TEAM,사전 제작 팀에 참여할 수 없습니다.
STRINGS.#0.TEXT_MAPLIST_ALPHASORT_BUTTON_TEXT,Name,이름
STRINGS.#0.TEXT_SFX_RAR_SFX_COMNDOR1,Commando rescued.,특공대가 구출되었습니다.
STRINGS.#0.TEXT_COMMAND_UI_HOTKEY_15,Interface Command 16,인터페이스 명령 16
STRINGS.#0.TEXT_UI_META_UNKNOWN_SOCKET_TYPE,Unknown,알 수 없는
STRINGS.#0.TEXT_SHOW_KEYBOARD_SHORTCUTS,Display Keyboard Hotkey Shortcuts in Tactical UI,전술적 UI에 키보드 단축키 단축키 표시
STRINGS.#0.TEXT_INVITEPLAYER,INVITE PLAYER,플레이어 초대
STRINGS.#0.TEXT_TOGGLE_HINTS,Minimize/Maximize Tutorials,튜토리얼 최소화 / 최대화
STRINGS.#0.TEXT_MULTIPLAYER_DETAILS_TOOLTIP_SPAWN_VISCEROIDS,Allow spawning of hostile Tiberium created lifeforms.,적대적인 타이베리움이 생성 한 생명체의 스폰을 허용합니다.
STRINGS.#0.TEXT_COMMAND_CNC_REPAIR_TOGGLE,Toggle Repair Mode,수리 모드 전환
STRINGS.#0.TEXT_RA_TUTORIAL_MESSAGE_140,Hmm. You may be right. Let&apos;s discuss,흠. 당신이 옳을 수 있습니다. 토론하자
STRINGS.#0.TEXT_CINE_NOD_FIN_LINE16,[EXPLOSION],[폭발]
STRINGS.#0.TEXT_REPLAY_MENU_DELETING,Deleting replay...,리플레이 삭제 중 ...
STRINGS.#0.TEXT_NAME_ALLIED_CAMPAIGN46,POLAND: PAWN,폴란드 : PAWN
STRINGS.#0.TEXT_KEY_F22,F22,F22
STRINGS.#0.TEXT_COMMAND_UI_HOTKEY_11,Interface Command 12,인터페이스 명령 12
STRINGS.#0.TEXT_CINE_ALLIEND_LINE21,[MUFFLED YELLS],[음소리]
STRINGS.#0.TEXT_BONUS_CONTENT_CNC_TD_ENTRY_74_INFO,"Ed Del Castillo (Kane&apos;s lieutenant) ready for action. Ed was the Producer for Tiberian Dawn, Red Alert, and all the cinematics.","에드 델 카스티요 (케인의 중위)가 행동 할 준비가되었습니다. Ed는 Tiberian Dawn, Red Alert 및 모든 시네마틱의 프로듀서였습니다."
STRINGS.#0.TEXT_TOOLTIP_MENU,Menu,메뉴
STRINGS.#0.TEXT_FACTION_BONUS_GREECE,Greece: 10% longer range,그리스 : 10 % 더 긴 범위
STRINGS.#0.TEXT_MUSIC_RAB_MUS_HELL_MARCH_ORIGINAL_DEMO,"Hell March Original Demo (Bonus, Unlocked)","Hell March 오리지널 데모 (보너스, 잠금 해제)"
STRINGS.#0.TEXT_SFX_TDC_SFX_ETHANKS,Thank you.,감사합니다.
STRINGS.#0.TEXT_EVENTS,EVENTS,이벤트
STRINGS.#0.TEXT_UNIT_TITLE_NOD_FLAMETHROWER,Flamethrower,화염 방사기
STRINGS.#0.TEXT_TECH,TECH,기술
STRINGS.#0.TEXT_STRUCTURE_RA_PDOX,Chronosphere,연대기
STRINGS.#0.TEXT_GAME_SETTINGS_HEALTH_BAR_OPACITY,Health Bar Opacity,헬스 바 불투명도
STRINGS.#0.TEXT_BONUS_LEVELS,Console Missions,콘솔 임무
STRINGS.#0.TEXT_ACHIEVEMENT_MAKING_FRIENDS,Making Friends,친구 사귀기
STRINGS.#0.TEXT_COMMAND_RA_SOVIET_BUILD_UNIT_VOLKOV,Soviet Vehicle - Volkov,소련 차량-볼코프
STRINGS.#0.TEXT_TOOLTIP_FACTORY_RALLY,Set factory rally point,공장 집회 지점 설정
STRINGS.#0.TEXT_LOCKED_OBJECT_TYPE,???,???
STRINGS.#0.TEXT_COMMAND_RA_ALLIED_BUILD_STRUCTURE_POWER_PLANT,Allied Structure - Power Plant,연합군 구조-발전소
STRINGS.#0.TEXT_DIFFICULTY_2,Normal,표준
STRINGS.#0.TEXT_GAME_SETTINGS_DISABLE_HINTS,Disable Hints,힌트 비활성화
STRINGS.#0.TEXT_OPTIONS_MODS_MOD_FOLDER,Mods Folder,Mods 폴더
STRINGS.#0.TEXT_COMMAND_TD_NOD_BUILD_STRUCTURE_AIR_FIELD,Nod Structure - Airstrip,Nod 구조-비행장
STRINGS.#0.TEXT_BONUS_CONTENT_CNC_TD_ENTRY_76_LOCK,COMPLETE Under Siege,공성전 완료
STRINGS.#0.TEXT_CINE_NOD_END2_LINE26,[♪♪♪],[♪♪♪]
STRINGS.#0.TEXT_KEY_NUMPAD_1,Numpad 1,숫자 키 1
STRINGS.#0.TEXT_BONUS_CONTENT_CNC_RA_ENTRY_41_INFO,"Dwight Okahara (sound FX creator) in his office. His office was sandwiched between the offices of Paul Mudra and Frank Klepacki. The inhabitants of Building 2 often caused mischief/trouble for Management due to the lack of their general supervision - including Joe Kucan Petroglyph&apos;s Ted Morris, Mike Legg, and Frank Klepacki.","사무실에서 드와이트 오카하라 (사운드 FX 제작자). 그의 사무실은 Paul Mudra와 Frank Klepacki의 사무실 사이에 끼어있었습니다. 건물 2의 주민들은 Joe Kucan Petroglyph의 Ted Morris, Mike Legg 및 Frank Klepacki를 포함하여 일반적인 감독의 부족으로 인해 관리에 종종 장난 / 문제를 일으켰습니다."
STRINGS.#0.TEXT_RA_TUTORIAL_MESSAGE_42,Get trucks to other shore,다른 해안으로 트럭을 타십시오
STRINGS.#0.TEXT_N64_NOD_30_EAST,GDI &apos;99 Special Ops M1,GDI 99 특별 작전 M1
STRINGS.#0.TEXT_CAMPAIGN_OBJECTIVES,Objectives,목표
STRINGS.#0.TEXT_MUSIC_TDR_MUS_NOD_MAP_THEME,Nod Map Theme (Remastered),Nod지도 테마 (리마스터)
STRINGS.#0.TEXT_MAIN_MENU_BONUS_CONTENT,Bonus Gallery,보너스 갤러리
STRINGS.#0.TEXT_INFO_MISSION_OBJECTIVE_COUNTER_FORMAT,&lt;HTML&gt;&lt;FONT COLOR=&apos;#FFA000&apos;&gt;[##0 \ ##1]&lt;/FONT&gt;,& lt; HTML & gt; & lt; FONT COLOR = & apos; # FFA000 '& gt; [## 0 \ ## 1] & lt; / FONT & gt;
STRINGS.#0.TEXT_MUSIC_TDR_MUS_JUST_DO_IT_UP_OST_VERSION,Just Do It Up – OST Version (Remastered),Just Do It Up – OST 버전 (Remastered)
STRINGS.#0.TEXT_COMMAND_TD_CAPTURED_NOD_BUILD_UNIT_NOD_BUGGY,Captured Nod Vehicle - Buggy,캡처 된 Nod 차량-버기
STRINGS.#0.TEXT_NAME_MP_14_COMBAT_ALLEY,Combat Alley,전투 골목
STRINGS.#0.TEXT_TOOLTIP_RESOURCES,Toggles resource display,리소스 표시를 전환합니다.
STRINGS.#0.TEXT_NAME_ANT_CAMPAIGN02,IT CAME FROM!: Rescue!,시작되었습니다! : 구조하세요!
STRINGS.#0.TEXT_COMMAND_TD_GDI_BUILD_STRUCTURE_HELIPAD,GDI Structure - Helipad,GDI 구조-헬기장
STRINGS.#0.TEXT_MUSIC_RAR_MUS_VOICE_RHYTHM_2,Voice Rhythm 2 (Remastered),보이스 리듬 2 (Remastered)
